joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_index_little,rest,5,2756.8,637.2802837056863,4024.8,425.8804527094429,1028.0,281.3986496058572,27.504554455445543,6.163847389871279,7.1465346534653476,2.8869844726222964,1.173411078717201,0.1241633972913828,0.012988873302252096,0.00013455362470643958,0.6780733837599341,0.08603303466560598,2.0,0.0,311.9115293502808,81.24968292818681,50500.0,0.0
lock_index_middle_ring,low,5,2754.4,426.55578767612565,4119.6,398.71573833998576,1037.8,183.66316996066467,27.855049504950493,6.110699662690927,7.0645544554455455,2.031274581114038,1.2010495626822155,0.11624365549270722,0.01305696593067967,0.00019974615353163025,0.665665407484106,0.05758166947198956,2.0,0.0,316.1274510860443,92.31081120630867,50500.0,0.0
lock_index,default,5,2750.8,421.8703118258027,4426.4,590.049014913168,1003.4,138.76108964691795,31.074059405940595,7.033086855331436,7.060594059405941,1.7076094306515852,1.2904956268221575,0.17202595186972827,0.012934898078522956,0.00019707110942969965,0.6207748525758413,0.039569603394075836,2.0,0.0,322.47814478874204,95.8585525350718,50500.0,0.0
lock_index_little,low,5,2732.4,672.5454928850539,4043.4,736.3970668056737,1084.0,310.97652644532513,27.243564356435645,10.344368563823371,7.441584158415841,3.787186151120758,1.1788338192419825,0.21469302239232477,0.013078667123095567,0.00026493702193321184,0.6724727706666009,0.06834158230055049,2.0,0.0,332.174304151535,171.01192264791277,50500.0,0.0
lock_index_middle_ring,max,5,2726.8,655.2332103915368,4250.8,899.0077641488976,1010.6,307.2533807787963,31.324356435643562,10.720037090241584,7.586138613861387,3.3339542080988207,1.2393002915451894,0.2621013889646932,0.012988084705738914,0.00028776519288102137,0.6426958928615024,0.06807181352202452,2.0,0.0,326.0212983608246,73.67397012095729,50500.0,0.0
lock_middle_ring,rest,5,2704.8,481.02656891277843,4040.6,728.8842432101272,994.6,187.72064351051006,28.507722772277226,10.067780532106491,7.024950495049505,2.534534836332823,1.1780174927113705,0.21250269481344822,0.013023878749103688,0.000266678451576129,0.6699876918313,0.023512717943767112,2.0,0.0,336.60191202163696,148.97014799529666,50500.0,0.0
lock_middle,mid,5,2700.8,481.10597585147497,4137.2,799.1008446998413,988.0,180.41618552668714,27.817425742574255,8.890523468743536,6.631683168316831,2.1389288363578705,1.2061807580174926,0.23297400720111985,0.01306185078534217,0.0002733858931405725,0.6599743704104346,0.0675273156466183,2.0,0.0,312.23271360397337,117.6171682256057,50500.0,0.0
lock_middle,max,5,2688.0,478.0447677780816,4247.4,683.7293616629316,1032.0,202.34623791906782,28.680792079207926,6.990945047389659,6.992079207920793,1.9972340446318178,1.2383090379008745,0.1993380063157235,0.013013917489562921,0.00022288373554201925,0.6331544129691077,0.0476558956376468,2.0,0.0,309.409387922287,92.92388050682564,50500.0,0.0
lock_index,rest,5,2686.0,1173.9844973422776,3883.0,1296.1229879914945,1039.4,496.1324823068935,28.866930693069303,13.580398024681516,7.97782178217822,4.7485183857822175,1.132069970845481,0.37787842215495465,0.013240748973091266,0.0008953874366148091,0.6522002390468078,0.12518205866426332,2.0,0.0,328.7883273601532,158.92994248234308,50500.0,0.0
lock_ring_little,low,5,2679.4,555.3386714429313,4378.8,292.4061558859526,1007.0,222.98071665505068,31.573069306930694,4.214209879135283,7.31960396039604,2.044088734625779,1.2766180758017494,0.08524960813001538,0.012863798519551833,0.00011473142688330323,0.6062241485423271,0.08698967413966567,2.0,0.0,330.5502656936645,129.16099733717934,50500.0,0.0
lock_middle_ring,mid,5,2666.6,776.141894243572,4254.0,619.9803222683765,967.6,348.4230761588561,28.19485148514851,8.795455296858227,6.647920792079208,3.458581549518975,1.2402332361516035,0.18075228054471615,0.013057612741719163,0.00032763522759093503,0.6148474375098625,0.1093357768006614,2.0,0.0,318.06464924812315,96.85216384556652,50500.0,0.0
lock_index_little,max,5,2656.6,468.80127986173414,3918.0,331.14770118483386,1009.6,256.72600179958397,26.434851485148517,4.6400578033035575,6.881188118811882,2.3223892047778683,1.1422740524781343,0.09654451929586992,0.013024059391426581,0.00016056313694726395,0.6745682531361072,0.07549381788595229,2.0,0.0,307.8342909812927,74.1010729590778,50500.0,0.0
lock_index_middle,low,5,2652.0,550.8114014796716,3991.4,618.800969617857,997.8,215.89756830497188,26.79960396039604,7.867866386656959,6.762772277227723,2.404698664916678,1.163673469387755,0.180408445952728,0.01306483377581819,0.00022514728225065046,0.6611269308253871,0.062352700255256126,2.0,0.0,313.5139000892639,108.35038907496619,50500.0,0.0
none,max,5,2651.4,554.188993033965,4066.6,822.0405342803966,976.8,229.9516470912961,27.876039603960397,9.029930742307036,6.712079207920792,2.5293926220666183,1.185597667638484,0.23966196334705442,0.013082921380473253,0.0003708939800522876,0.6571219795669804,0.07442695575938549,2.0,0.0,325.7415261745453,133.3846898164168,50500.0,0.0
lock_index,max,5,2636.4,512.3540182334867,4069.6,553.6109102971147,975.6,223.87460776068374,26.262574257425747,7.477140731999426,6.38059405940594,2.39713235862155,1.186472303206997,0.1614025977542609,0.01308766646608075,0.00025123868496504446,0.6448348169627794,0.05985461955510835,2.0,0.0,315.0043402671814,144.56027162611542,50500.0,0.0
lock_index,mid,5,2627.0,170.53797231115422,4147.4,359.76581271710626,991.8,93.54656594445358,27.617425742574255,4.630992104693968,6.561584158415842,0.9365692733189169,1.2091545189504376,0.10488799204580353,0.013013515344704473,0.0002124166943326535,0.6374443282366413,0.05934429114020843,2.0,0.0,310.8319365978241,100.67729513607203,50500.0,0.0
